tick,harvested
2420,827123
35190,208176
2425,828457
35195,207760
2430,830109
35200,207760
2435,831738
35205,207760
2440,832204
35210,207760
2445,832560
35215,207760
2450,832936
35220,207760
2455,832839
35225,207760
2460,833843
35230,207760
2465,835808
35235,207760
2470,837418
35240,207760
2475,838587
35245,207760
2480,839988
35250,207760
2485,841294
35255,207760
2490,842678
35260,207760
2495,843914
35265,207760
2500,845714
35270,207328
2505,847396
35275,207328
2510,848429
35280,207328
2515,849393
35285,207328
2520,849794
35290,207328
2525,851638
35295,207328
2530,853278
35300,207328
2535,855163
35305,207328
2540,855431
35310,207328
2545,856802
35315,207328
2550,858950
35320,207328
2555,858840
35325,207328
2560,860989
35330,207328
2565,860390
35335,207328
2570,862332
35340,206912
2575,862044
35345,206912
2580,862703
35350,206912
2585,860730
35355,206912
2590,862027
35360,206912
2595,863646
35365,206912
2600,864037
35370,206912
2605,863173
35375,206912
2610,863836
35380,206912
2615,864025
35385,206912
2620,864599
35390,206912
2625,864661
35395,206912
2630,864065
35400,206912
2635,863450
35405,206912
2640,864103
35410,206480
2645,863946
35415,206480
2650,863439
35420,206480
2655,862935
35425,206480
2660,862382
35430,206480
2665,861785
35435,206480
2670,861085
35440,206480
2675,860070
35445,206480
2680,859406
35450,206480
2685,858607
35455,206480
2690,857640
35460,206480
2695,856600
35465,206480
2700,855644
35470,206480
2705,854561
35475,206480
2710,853391
35480,206480
2715,852268
35485,206064
2720,850915
35490,206064
2725,849966
35495,206064
2730,848575
35500,206064
2735,847976
35505,206064
2740,847129
35510,206064
2745,846370
35515,206064
2750,845474
35520,206064
2755,844645
35525,206064
2760,843738
35530,206064
2765,842887
35535,206064
2770,842102
35540,206064
2775,841056
35545,206064
2780,840244
35550,206064
2785,839481
35555,206064
2790,838289
35560,205632
2795,837382
35565,205632
2800,836602
35570,205632
2805,835556
35575,205632
2810,834469
35580,205632
2815,834355
35585,205632
2820,832730
35590,205632
2825,831855
35595,205632
2830,831059
35600,205632
2835,829313
35605,205632
2840,828474
35610,205632
2845,828198
35615,205632
2850,828548
35620,205632
2855,825769
35625,205632
2860,824911
35630,205216
2865,824163
35635,205216
2870,822916
35640,205216
2875,821321
35645,205216
2880,820352
35650,205216
2885,819295
35655,205216
2890,817640
35660,205216
2895,816602
35665,205216
2900,815820
35670,205216
2905,815734
35675,205216
2910,814456
35680,205216
2915,812995
35685,205216
2920,812252
35690,205216
2925,811661
35695,205216
2930,810058
35700,205216
2935,808816
35705,204784
2940,807009
35710,204784
2945,805857
35715,204784
2950,804869
35720,204784
2955,803721
35725,204784
2960,802258
35730,204784
2965,802039
35735,204784
2970,801463
35740,204784
2975,801451
35745,204784
2980,801031
35750,204784
2985,799188
35755,204784
2990,797475
35760,204784
2995,796330
35765,204784
3000,794919
35770,204784
3005,793867
35775,204784
3010,793349
35780,204368
3015,792789
35785,204368
3020,791894
35790,204368
3025,790173
35795,204368
3030,788713
35800,204368
3035,786673
35805,204368
3040,786499
35810,204368
3045,785676
35815,204368
3050,785163
35820,204368
3055,784351
35825,204368
3060,783510
35830,204368
3065,782761
35835,204368
3070,782472
35840,204368
3075,781458
35845,204368
3080,780052
35850,204368
3085,778738
35855,203936
3090,777588
35860,203936
3095,776377
35865,203936
3100,775718
35870,203936
3105,774080
35875,203936
3110,772432
35880,203936
3115,771005
35885,203936
3120,769707
35890,203936
3125,769233
35895,203936
3130,769070
35900,203936
3135,768490
35905,203936
3140,767859
35910,203936
3145,767754
35915,203936
3150,767888
35920,203936
3155,766525
35925,203936
3160,764946
35930,203520
3165,764005
35935,203520
3170,762713
35940,203520
3175,761189
35945,203520
3180,759302
35950,203520
3185,757668
35955,203520
3190,757296
35960,203520
3195,757264
35965,203520
3200,757153
35970,203520
3205,755989
35975,203520
3210,756278
35980,203520
3215,756721
35985,203520
3220,756777
35990,203520
3225,756032
35995,203520
3230,755156
36000,203520
3235,754479
36005,203088
3240,754396
36010,203088
3245,753746
36015,203088
3250,753877
36020,203088
3255,753911
36025,203088
3260,754079
36030,203088
3265,754165
36035,203088
3270,754496
36040,203088
3275,754896
36045,203088
3280,754245
36050,203088
3285,752671
36055,203088
3290,751235
36060,203088
3295,749775
36065,203088
3300,748229
36070,203088
3305,747182
36075,203088
3310,746034
36080,202672
3315,744658
36085,202672
3320,743439
36090,202672
3325,742560
36095,202672
3330,741804
36100,202672
3335,741171
36105,202672
3340,740053
36110,202672
3345,738225
36115,202672
3350,736417
36120,202672
3355,735860
36125,202672
3360,734951
36130,202672
3365,734130
36135,202672
3370,733388
36140,202672
3375,732520
36145,202672
3380,731357
36150,202672
3385,730087
36155,202240
3390,728819
36160,202240
3395,728565
36165,202240
3400,727797
36170,202240
3405,726518
36175,202240
3410,725707
36180,202240
3415,725012
36185,202240
3420,724692
36190,202240
3425,724199
36195,202240
3430,723576
36200,202240
3435,723317
36205,202240
3440,723271
36210,202240
3445,723177
36215,202240
3450,723566
36220,202240
3455,723113
36225,202240
3460,723228
36230,201824
3465,723217
36235,201824
3470,722482
36240,201824
3475,721942
36245,201824
3480,721414
36250,201824
3485,721209
36255,201824
3490,720815
36260,201824
3495,720748
36265,201824
3500,720582
36270,201824
3505,720378
36275,201824
3510,720413
36280,201824
3515,719385
36285,201824
3520,718311
36290,201824
3525,717033
36295,201824
3530,715772
36300,201824
3535,714838
36305,201392
3540,714232
36310,201392
3545,713576
36315,201392
3550,712787
36320,201392
3555,712441
36325,201392
3560,711809
36330,201392
3565,711520
36335,201392
3570,711114
36340,201392
3575,710398
36345,201392
3580,709951
36350,201392
3585,709624
36355,201392
3590,709152
36360,201392
3595,708679
36365,201392
3600,708667
36370,201392
3605,708605
36375,201392
3610,707953
36380,200976
3615,707324
36385,200976
3620,707356
36390,200976
3625,707151
36395,200976
3630,707165
36400,200976
3635,707203
36405,200976
3640,707630
36410,200976
3645,706654
36415,200976
3650,705582
36420,200976
3655,704810
36425,200976
3660,703844
36430,200976
3665,703577
36435,200976
3670,702754
36440,200976
3675,702347
36445,200976
3680,701785
36450,200976
3685,701075
36455,200976
3690,700964
36460,200544
3695,701380
36465,200544
3700,701632
36470,200544
3705,700884
36475,200544
3710,700446
36480,200544
3715,700335
36485,200544
3720,699922
36490,200544
3725,699435
36495,200544
3730,699282
36500,200544
3735,699190
36505,200544
3740,698621
36510,200544
3745,698344
36515,200544
3750,698321
36520,200544
3755,698903
36525,200544
3760,697971
36530,200544
3765,697229
36535,200128
3770,696537
36540,200128
3775,695507
36545,200128
3780,694172
36550,200128
3785,694664
36555,200128
3790,695498
36560,200128
3795,695352
36565,200128
3800,695407
36570,200128
3805,695477
36575,200128
3810,695334
36580,200128
3815,695116
36585,200128
3820,694332
36590,200128
3825,694021
36595,200128
3830,694216
36600,200128
3835,693901
36605,200128
3840,693338
36610,200128
3845,693012
36615,199696
3850,693149
36620,199696
3855,692787
36625,199696
3860,692920
36630,199696
3865,692550
36635,199696
3870,692285
36640,199696
3875,690995
36645,199696
3880,688768
36650,199696
3885,690376
36655,199696
3890,691173
